iter	TotalF1	MultiClass
417	0.5779977298	0.987391683
418	0.5780647622	0.9872778182
419	0.5780432261	0.9872074977
420	0.5781808916	0.9870777278
421	0.5783590783	0.9870197071
422	0.578301953	0.9868938737
423	0.5784512988	0.9867442878
424	0.5785732441	0.9865419067
425	0.5787334112	0.9863826473
426	0.5787845309	0.9863174805
427	0.5786629263	0.9861008385
428	0.5786094429	0.9859845066
429	0.578714003	0.9857737568
430	0.5787632845	0.9857002458
431	0.5787931552	0.9856306941
432	0.578909956	0.9853067736
433	0.5792433149	0.9851143956
434	0.5792782402	0.9850459923
435	0.5795056205	0.984932295
436	0.5795517868	0.9849157622
437	0.5797003838	0.9847743992
438	0.5797863816	0.9846407531
439	0.5797563514	0.9845165437
440	0.5797855267	0.9844558491
441	0.5798032887	0.9844099554
442	0.5798627741	0.9843189788
443	0.5800952675	0.9841983477
444	0.5800783429	0.9841224563
445	0.5799798071	0.9839641358
446	0.5802131335	0.9837063176
447	0.5803317818	0.9836042068
448	0.5804167447	0.9833049543
449	0.5803375941	0.9832018903
450	0.5802779534	0.9831587064
451	0.580317039	0.9829520601
452	0.5803031711	0.9828911301
453	0.5803686355	0.9827318035
454	0.5805381987	0.9826357425
455	0.5805945674	0.9825426815
456	0.5806392104	0.9824279226
457	0.5807821137	0.9823267972
458	0.5808128186	0.9823191141
459	0.5811437166	0.9820446734
460	0.5812496351	0.9819639094
461	0.5811949114	0.98173267
462	0.5811427924	0.9815226473
463	0.5813853848	0.981402094
464	0.5815486827	0.9812866764
465	0.5816554901	0.9811824692
466	0.581793506	0.9810614358
467	0.5818401812	0.9809936609
468	0.5820249623	0.9807725912
469	0.5821170776	0.9806141396
470	0.5822316479	0.9805000013
471	0.5822759921	0.9804116663
472	0.5823543006	0.9802934221
473	0.5824321782	0.9801693936
474	0.5826151266	0.9799489594
475	0.5827707718	0.9797379564
476	0.5826199065	0.9795852991
477	0.582692563	0.9794777385
478	0.5827040745	0.9794243047
479	0.58284985	0.9792605496
480	0.582938354	0.9791048449
481	0.5829690289	0.9790775809
482	0.5829976508	0.978973616
483	0.5830890179	0.978892272
484	0.5832242432	0.9787471806
485	0.5832703602	0.9786797887
486	0.5833707934	0.9785006784
487	0.5832212797	0.9783707339
488	0.5831974004	0.9783407724
489	0.5832422772	0.978301772
490	0.5834438301	0.9781376144
491	0.5834305487	0.9780433072
492	0.5834253698	0.9779314323
493	0.5833819241	0.9778466647
494	0.5835789714	0.9777377137
495	0.5835936493	0.9774626123
496	0.5836362943	0.9773124903
497	0.5835798514	0.9771427847
498	0.5837270276	0.9770232325
499	0.5838346057	0.9769699042
